METHOD,LR,VALUE
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.0744444444444,0.249997
momentum,0.106666666667,0.25395
momentum,0.106666666667,0.250419
momentum,0.106666666667,0.250062
momentum,0.106666666667,0.250007
momentum,0.106666666667,0.249998
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
momentum,0.106666666667,0.249997
